Date,station,river_hight,rainfall
11/15/2023,Putupaula,1.22,7.6
11/15/2023,Ellagawa,6.24,0.1
11/15/2023,Rathnapura,2.27,0
11/15/2023,Magura,1.79,1.4
11/15/2023,Kalawellawa,3.73,2.2
11/14/2023,Putupaula,1.8,4.9
11/14/2023,Ellagawa,7.7,2.7
11/14/2023,Rathnapura,3.64,38.4
11/14/2023,Magura,2.8,19
11/14/2023,Kalawellawa,4.86,6.4
11/13/2023,Putupaula,1.59,7.3
11/13/2023,Ellagawa,7.69,6.8
11/13/2023,Rathnapura,4.95,24.6
11/13/2023,Magura,3.37,6.6
11/13/2023,Kalawellawa,4.98,28.2
11/12/2023,Putupaula,1.65,0
11/12/2023,Ellagawa,6.68,5
11/12/2023,Rathnapura,2.77,0
11/12/2023,Magura,2.55,3.4
11/12/2023,Kalawellawa,5.15,14.3
11/11/2023,Putupaula,2.18,1.6
11/11/2023,Ellagawa,7.84,12.5
11/11/2023,Rathnapura,2.88,14.6
11/11/2023,Magura,2.68,10.5
11/11/2023,Kalawellawa,5.86,1.5
11/10/2023,Putupaula,2.17,3.9
11/10/2023,Ellagawa,8.16,94.5
11/10/2023,Rathnapura,4.18,17.6
11/10/2023,Magura,2.98,14.8
11/10/2023,Kalawellawa,6.08,22.3
11/9/2023,Putupaula,2.27,5.2
11/9/2023,Ellagawa,7.38,8.2
11/9/2023,Rathnapura,3.05,0.9
11/9/2023,Magura,3.57,10
11/9/2023,Kalawellawa,6.02,45.8
11/8/2023,Putupaula,2.43,4.3
11/8/2023,Ellagawa,8.35,8.3
11/8/2023,Rathnapura,3.83,2.5
11/8/2023,Magura,2.99,14.7
11/8/2023,Kalawellawa,6,41
11/7/2023,Putupaula,2.32,21.2
11/7/2023,Ellagawa,8.49,74.4
11/7/2023,Rathnapura,5.11,35
11/7/2023,Magura,2.47,2.1
11/7/2023,Kalawellawa,5.72,65.1
11/6/2023,Putupaula,1.86,8.9
11/6/2023,Ellagawa,7.8,11.9
11/6/2023,Rathnapura,4.35,14.2
11/6/2023,Magura,2.8,2.5
11/6/2023,Kalawellawa,4.88,37.7
11/5/2023,Putupaula,1.95,12.2
11/5/2023,Ellagawa,7.72,16.3
11/5/2023,Rathnapura,3.6,18.5
11/5/2023,Magura,2.5,0
11/5/2023,Kalawellawa,5.2,7.8
11/4/2023,Putupaula,2.13,0
11/4/2023,Ellagawa,7.74,52
11/4/2023,Rathnapura,3.47,1839
11/4/2023,Magura,2.52,4.6
11/4/2023,Kalawellawa,5.66,3.6
11/3/2023,Putupaula,2.64,11.4
11/3/2023,Ellagawa,8,60.7
11/3/2023,Rathnapura,3.09,0.9
11/3/2023,Magura,3.97,38.7
11/3/2023,Kalawellawa,6.05,4.3
11/2/2023,Putupaula,2.81,1.8
11/2/2023,Ellagawa,8.71,4.4
11/2/2023,Rathnapura,4.9,32.1
11/2/2023,Magura,3.13,14.2
11/2/2023,Kalawellawa,6.63,1.6
11/1/2023,Putupaula,2.74,5.8
11/1/2023,Ellagawa,8.86,65.7
11/1/2023,Rathnapura,4.8,21.1
11/1/2023,Magura,4.11,32.5
11/1/2023,Kalawellawa,6.76,33.3
9/30/2023,Putupaula,3.87,14.6
9/30/2023,Ellagawa,10.4,75.5
9/30/2023,Rathnapura,6.66,47.5
9/30/2023,Magura,5.16,18.4
9/30/2023,Kalawellawa,8.41,47.3
9/29/2023,Putupaula,3.18,29.9
9/29/2023,Ellagawa,9.54,58.2
9/29/2023,Rathnapura,6.78,43.8
9/29/2023,Magura,5.4,23
9/29/2023,Kalawellawa,7.67,72.8
9/28/2023,Putupaula,2.4,22.9
9/28/2023,Ellagawa,8.3,88.2
9/28/2023,Rathnapura,5.79,78
9/28/2023,Magura,4.78,27.1
9/28/2023,Kalawellawa,6.07,68.7
9/27/2023,Putupaula,1.76,36
9/27/2023,Ellagawa,6.99,63.8
9/27/2023,Rathnapura,2.3,26
9/27/2023,Magura,3.22,15.2
9/27/2023,Kalawellawa,5.25,78.1
9/23/2023,Putupaula,1.25,12.5
9/23/2023,Ellagawa,6.05,10
9/23/2023,Rathnapura,1.92,32.6
9/23/2023,Magura,3.1,10.8
9/23/2023,Kalawellawa,3.8,38
9/22/2023,Putupaula,1.12,3.5
9/22/2023,Ellagawa,5.49,2
9/22/2023,Rathnapura,1.36,14.6
9/22/2023,Magura,1.93,0
9/22/2023,Kalawellawa,3.97,21.2
9/21/2023,Putupaula,1.63,0
9/21/2023,Ellagawa,5.8,1.2
9/21/2023,Rathnapura,1.5,0
9/21/2023,Magura,3.19,0
9/21/2023,Kalawellawa,5.35,0
9/20/2023,Putupaula,1.95,119.2
9/20/2023,Ellagawa,7.06,56.8
9/20/2023,Rathnapura,2.57,24.9
9/20/2023,Magura,4.91,29.8
9/20/2023,Kalawellawa,5.09,81.1
9/19/2023,Putupaula,0.88,2.6
9/19/2023,Ellagawa,5.68,5.7
9/19/2023,Rathnapura,1.74,10
9/19/2023,Magura,1.73,6.7
9/19/2023,Kalawellawa,3.26,7.6
9/18/2023,Putupaula,0.79,5.8
